LATITUDE,LONGITUDE,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,BOROUGH,SEVERITY
40.62179,-73.970024,1/11/2023,1:29,1,0,Unspecified,OCEAN PARKWAY,AVENUE K,,BROOKLYN,1
40.667202,-73.8665,11/9/2021,9:35,0,0,Unspecified,,,1211      LORING AVENUE,BROOKLYN,0
40.683304,-73.917274,12/14/2021,8:13,0,0,,SARATOGA AVENUE,DECATUR STREET,,BROOKLYN,0
40.709183,-73.956825,12/14/2021,17:05,0,0,Passing Too Closely,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.86816,-73.83148,12/14/2021,8:17,2,0,Unspecified,,,344       BAYCHESTER AVENUE,BRONX,2
40.67172,-73.8971,12/14/2021,21:10,0,0,Driver Inexperience,,,2047      PITKIN AVENUE,BROOKLYN,0
40.75144,-73.97397,12/14/2021,14:58,0,0,Passing Too Closely,3 AVENUE,EAST 43 STREET,,MANHATTAN,0
40.701275,-73.88887,12/13/2021,0:34,0,0,Passing or Lane Usage Improper,MYRTLE AVENUE,,,,0
40.675884,-73.75577,12/14/2021,16:50,0,0,Turning Improperly,SPRINGFIELD BOULEVARD,EAST GATE PLAZA,,QUEENS,0
40.59662,-74.00231,12/14/2021,0:59,0,0,Unsafe Speed,BELT PARKWAY,,,,0
40.66684,-73.78941,12/14/2021,23:10,2,0,Reaction to Uninvolved Vehicle,NORTH CONDUIT AVENUE,150 STREET,,QUEENS,2
40.68158,-73.97463,12/14/2021,17:58,0,0,Passing Too Closely,,,480       DEAN STREET,BROOKLYN,0
40.65068,-73.95881,12/14/2021,20:03,4,0,Steering Failure,,,878       FLATBUSH AVENUE,BROOKLYN,4
40.87262,-73.904686,11/12/2021,19:43,1,0,Unspecified,WEST KINGSBRIDGE ROAD,HEATH AVENUE,,BRONX,1
40.783268,-73.82485,12/14/2021,14:30,0,0,Following Too Closely,WHITESTONE EXPRESSWAY,,,,0
40.748917,-73.993546,11/12/2021,4:45,0,0,Following Too Closely,,,232       WEST 30 STREET,MANHATTAN,0
40.744644,-73.77041,12/14/2021,5:46,1,0,Other Vehicular,LONG ISLAND EXPRESSWAY,,,,1
40.75373,-73.88505,12/13/2021,6:30,0,0,Unspecified,82 STREET,34 AVENUE,,QUEENS,0
40.804375,-73.93742,12/14/2021,3:43,1,0,Unspecified,LEXINGTON AVENUE,,,,1
40.63165,-74.08762,12/13/2021,17:40,1,0,Unspecified,VICTORY BOULEVARD,WOODSTOCK AVENUE,,STATEN ISLAND,1
40.623104,-73.95809,12/14/2021,17:31,1,0,Unspecified,EAST 18 STREET,AVENUE K,,BROOKLYN,1
40.66576,-73.9845,12/14/2021,20:13,0,0,Passing Too Closely,,,366       12 STREET,BROOKLYN,0
40.687534,-73.9775,12/14/2021,12:54,1,0,Unspecified,FULTON STREET,SAINT FELIX STREET,,BROOKLYN,1
40.710957,-73.951126,12/14/2021,17:15,1,0,Passing or Lane Usage Improper,GRAND STREET,UNION AVENUE,,BROOKLYN,1
40.81813,-73.910126,12/14/2021,22:49,0,0,Driver Inattention/Distraction,,,713       EAGLE AVENUE,BRONX,0
40.70447,-73.90148,12/12/2021,9:00,0,0,Passing Too Closely,,,59-14     67 AVENUE,QUEENS,0
40.784615,-73.953964,12/14/2021,16:25,1,0,Driver Inattention/Distraction,EAST 93 STREET,,,,1
40.698257,-73.82632,09/22/2022,16:16,1,0,Passing or Lane Usage Improper,123 STREET,89 AVENUE,,QUEENS,1
40.663303,-73.96049,12/7/2022,17:50,0,0,Oversized Vehicle,,,44        EMPIRE BOULEVARD,BROOKLYN,0
40.720535,-73.88885,9/7/2021,0:43,0,1,Unspecified,ELIOT AVENUE,,,,5
40.607685,-74.13892,04/24/2022,16:45,1,0,Driver Inattention/Distraction,STATEN ISLAND EXPRESSWAY,,,,1
40.855972,-73.869896,04/24/2022,4:49,0,0,Unspecified,BOSTON ROAD,BRONX PARK EAST,,,0
40.790276,-73.9396,04/22/2022,17:17,1,0,Traffic Control Disregarded,EAST 107 STREET,,,,1
40.642986,-74.01621,04/24/2022,1:30,0,0,Unspecified,,,5610      4 AVENUE,BROOKLYN,0
0.0,0.0,04/24/2022,6:00,0,0,Unsafe Lane Changing,,,116-44    234 STREET,QUEENS,0
40.843906,-73.92413,04/24/2022,21:40,0,0,Alcohol Involvement,BOSCOBEL PLACE,UNIVERSITY AVENUE,,BRONX,0
40.89481,-73.86183,04/24/2022,17:45,0,0,Driver Inattention/Distraction,BRONX RIVER PARKWAY,EAST 233 STREET,,BRONX,0
0.0,0.0,04/15/2022,6:11,1,0,Driver Inattention/Distraction,EAST 162 STREET,,,,1
40.85169,-73.95238,04/24/2022,9:51,0,0,Unspecified,CROSS BRONX EXPY,,,,0
40.861862,-73.91275,04/24/2022,0:00,0,0,Driver Inattention/Distraction,MAJOR DEEGAN EXPRESSWAY,WEST FORDHAM ROAD,,BRONX,0
40.666256,-73.900215,8/3/2022,20:00,0,0,Unspecified,,,360       SNEDIKER AVENUE,BROOKLYN,0
40.767242,-73.986206,04/24/2022,15:35,1,0,View Obstructed/Limited,WEST 56 STREET,9 AVENUE,,MANHATTAN,1
40.62417,-73.97048,04/22/2022,12:00,1,0,Unspecified,AVENUE J,OCEAN PARKWAY,,BROOKLYN,1
40.679955,-73.97491,04/24/2022,13:10,0,0,Turning Improperly,SAINT MARKS AVENUE,6 AVENUE,,,0
40.692356,-73.94282,04/24/2022,4:20,1,0,Traffic Control Disregarded,THROOP AVENUE,DE KALB AVENUE,,BROOKLYN,1
40.78291,-73.98578,04/20/2022,19:37,0,0,Driver Inexperience,HENRY HUDSON PARKWAY,,,,0
40.67308,-73.91124,04/24/2022,16:14,0,0,Unspecified,ROCKAWAY AVENUE,,,,0
40.65011,-73.930214,12/4/2022,19:56,1,0,Failure to Yield Right-of-Way,UTICA AVENUE,SNYDER AVENUE,,BROOKLYN,1
40.638382,-74.03668,04/24/2022,0:30,1,0,Driver Inattention/Distraction,BELT PARKWAY,,,,1
40.69261,-73.81143,04/24/2022,20:13,0,0,Aggressive Driving/Road Rage,,,102-24    VANWYCK EXPRESSWAY,QUEENS,0
40.745235,-73.937706,04/24/2022,15:21,1,0,Driver Inattention/Distraction,THOMSON AVENUE,SKILLMAN AVENUE,,QUEENS,1
40.758705,-73.93793,04/24/2022,21:00,1,0,Driver Inattention/Distraction,21 STREET,37 AVENUE,,QUEENS,1
40.695156,-73.845406,04/24/2022,21:40,0,0,Reaction to Uninvolved Vehicle,JAMAICA AVENUE,102 STREET,,QUEENS,0
40.748158,-73.97033,7/4/2022,14:14,0,0,Driver Inattention/Distraction,1 AVENUE,EAST 41 STREET,,MANHATTAN,0
40.609535,-73.75372,06/29/2021,17:35,0,0,Passing or Lane Usage Improper,BEACH CHANNEL DRIVE,,,,0
40.59207,-73.96299,9/12/2021,20:20,1,0,Driver Inattention/Distraction,EAST 7 STREET,CRAWFORD AVENUE,,BROOKLYN,1
40.850018,-73.9107,9/12/2021,14:50,0,0,Unspecified,WEST 177 STREET,,,,0
40.653023,-73.73895,9/12/2021,2:45,1,0,Alcohol Involvement,149 AVENUE,HUXLEY STREET,,QUEENS,1
40.62573,-73.9564,6/12/2021,22:16,0,0,Unsafe Speed,AVENUE J,,,,0
40.665375,-73.934235,4/12/2021,12:00,0,0,Driver Inattention/Distraction,CROWN STREET,SCHENECTADY AVENUE,,BROOKLYN,0
40.776237,-73.943825,8/12/2021,16:20,0,0,Failure to Yield Right-of-Way,EAST END AVENUE,EAST 88 STREET,,MANHATTAN,0
40.640835,-73.98967,9/12/2021,23:15,1,0,Driver Inattention/Distraction,12 AVENUE,41 STREET,,BROOKLYN,1
40.593636,-73.797264,1/12/2021,14:34,0,0,Unsafe Speed,,,437       BEACH 68 STREET,QUEENS,0
40.674263,-73.80453,10/12/2021,7:00,0,0,Passing or Lane Usage Improper,,,122-42    134 STREET,QUEENS,0
40.70476,-73.96491,7/12/2021,9:20,0,0,Steering Failure,TAYLOR STREET,,,,0
40.569626,-74.190735,9/12/2021,8:00,0,0,Following Too Closely,WEST SHORE EXPRESSWAY,,,,0
40.698463,-73.960205,7/12/2021,17:08,0,0,Following Too Closely,FLUSHING AVENUE,KENT AVENUE,,BROOKLYN,0
40.658413,-73.9171,5/12/2021,8:20,0,0,Unspecified,,,393       ROCKAWAY PARKWAY,BROOKLYN,0
40.76175,-73.96899,8/12/2021,19:30,1,0,Following Too Closely,,,127       EAST 58 STREET,MANHATTAN,1
40.736614,-73.9951,8/12/2021,12:00,1,0,Passing or Lane Usage Improper,,,44        WEST 14 STREET,MANHATTAN,1
40.62121,-74.12385,8/12/2021,22:37,0,0,Pavement Slippery,,,288       MANOR ROAD,STATEN ISLAND,0
40.873737,-73.90593,8/12/2021,17:56,0,0,Unspecified,MAJOR DEEGAN EXPRESSWAY,,,,0
40.66718,-73.95076,7/12/2021,7:50,0,0,Driver Inattention/Distraction,CARROLL STREET,,,,0
40.754295,-73.93946,8/12/2021,0:44,0,0,View Obstructed/Limited,23 STREET,40 AVENUE,,QUEENS,0
40.588116,-73.97261,8/12/2021,15:00,0,0,Passing Too Closely,AVENUE Y,,,,0
40.854935,-73.85822,10/12/2021,11:00,0,0,Oversized Vehicle,,,2123      LURTING AVENUE,BRONX,0
40.662575,-73.93448,10/12/2021,1:10,0,0,Driver Inattention/Distraction,SCHENECTADY AVENUE,,,,0
40.7448,-73.953415,9/12/2021,0:00,1,0,Unspecified,47 ROAD,,,,1
40.79672,-73.97618,8/12/2021,18:36,0,0,Passing or Lane Usage Improper,HENRY HUDSON PARKWAY,,,,0
40.752777,-73.70743,9/12/2021,20:30,0,0,Illnes,,,269-01    76 AVENUE,QUEENS,0
40.638523,-73.92607,9/12/2021,10:13,2,0,Traffic Control Disregarded,KINGS HIGHWAY,FARRAGUT ROAD,,BROOKLYN,2
40.637833,-74.08193,03/26/2022,14:00,0,0,Driver Inattention/Distraction,CORSON AVENUE,WESTERVELT AVENUE,,STATEN ISLAND,0
40.797836,-73.96946,03/26/2022,1:02,1,0,Traffic Control Disregarded,WEST 101 STREET,BROADWAY,,MANHATTAN,1
40.734375,-73.87342,03/26/2022,16:02,1,0,Lost Consciousness,QUEENS BOULEVARD,57 AVENUE,,QUEENS,1
40.699947,-73.736626,03/26/2022,16:05,1,0,Following Too Closely,115 AVENUE,221 STREET,,QUEENS,1
40.75632,-73.999275,03/21/2022,12:05,1,0,Following Too Closely,,,515       WEST 36 STREET,MANHATTAN,1
40.69614,-73.81789,03/26/2022,5:13,0,0,Failure to Yield Right-of-Way,131 STREET,ATLANTIC AVENUE,,QUEENS,0
40.631687,-73.9205,03/26/2022,17:42,0,0,Driver Inattention/Distraction,,,935       EAST 58 STREET,BROOKLYN,0
40.88839,-73.84666,03/26/2022,12:18,2,0,Failure to Yield Right-of-Way,LACONIA AVENUE,EAST 231 STREET,,BRONX,2
40.844425,-73.8639,03/26/2022,20:10,0,0,Unspecified,,,1706      HOLLAND AVENUE,BRONX,0
40.833965,-73.8629,03/26/2022,15:45,2,0,Alcohol Involvement,WHITE PLAINS ROAD,CROSS BRONX EXPRESSWAY,,BRONX,2
40.705738,-73.944695,03/26/2022,17:55,0,0,Driver Inattention/Distraction,MANHATTAN AVENUE,BOERUM STREET,,BROOKLYN,0
40.637905,-73.8878,03/26/2022,0:50,0,0,Unsafe Speed,AVENUE N,EAST 102 STREET,,BROOKLYN,0
40.635063,-73.94788,03/26/2022,14:05,1,0,Unsafe Speed,,,2067      NOSTRAND AVENUE,BROOKLYN,1
40.804153,-73.91304,03/26/2022,9:30,0,0,Unspecified,BRUCKNER BOULEVARD,EAST 137 STREET,,,0
40.676403,-73.96287,10/3/2022,8:30,4,0,Other Vehicular,PROSPECT PLACE,GRAND AVENUE,,BROOKLYN,4
40.829777,-73.85055,03/24/2022,23:00,1,0,Unspecified,WATSON AVENUE,CASTLE HILL AVENUE,,BRONX,1
40.613926,-74.030174,03/26/2022,7:36,0,0,Brakes Defective,FORT HAMILTON PARKWAY,97 STREET,,BROOKLYN,0
40.635563,-73.89577,03/26/2022,11:50,2,0,Failure to Yield Right-of-Way,EAST 94 STREET,AVENUE M,,BROOKLYN,2
40.675167,-73.825264,03/26/2022,17:42,0,0,Passing Too Closely,114 STREET,SUTTER AVENUE,,QUEENS,0
40.761486,-73.96061,03/26/2022,1:45,0,0,Driver Inattention/Distraction,EAST 62 STREET,1 AVENUE,,MANHATTAN,0
40.712284,-73.964005,03/26/2022,17:00,0,0,Passing or Lane Usage Improper,,,98        SOUTH 4 STREET,BROOKLYN,0
40.70546,-73.7949,02/25/2022,11:48,0,0,Following Too Closely,JAMAICA AVENUE,165 STREET,,QUEENS,0
40.74967,-73.99531,03/26/2022,22:51,1,0,Failure to Yield Right-of-Way,WEST 30 STREET,,,,1
40.833786,-73.94037,03/26/2022,8:21,0,0,Driver Inattention/Distraction,SAINT NICHOLAS AVENUE,WEST 159 STREET,,MANHATTAN,0
40.67794,-73.8023,03/17/2022,8:00,1,0,Traffic Control Disregarded,139 STREET,,,,1
40.637985,-74.0076,03/26/2022,10:30,0,0,Backing Unsafely,,,736       56 STREET,BROOKLYN,0
40.835037,-73.93979,03/26/2022,13:48,1,0,,,,1016      SAINT NICHOLAS AVENUE,MANHATTAN,1
40.9046,-73.852936,03/25/2022,9:56,0,0,Driver Inattention/Distraction,EAST 241 STREET,,,,0
40.742508,-73.91788,03/26/2022,23:45,1,0,Driver Inattention/Distraction,47 STREET,GREENPOINT AVENUE,,QUEENS,1
40.67046,-73.88788,03/26/2022,16:00,1,0,Driver Inattention/Distraction,SUTTER AVENUE,SCHENCK AVENUE,,BROOKLYN,1
40.72224,-73.9863,03/26/2022,23:17,1,0,Following Too Closely,ESSEX STREET,EAST HOUSTON STREET,,MANHATTAN,1
40.67639,-73.97189,03/23/2022,9:00,1,0,Traffic Control Disregarded,FLATBUSH AVENUE,,,,1
40.88893,-73.86579,03/26/2022,5:00,0,0,Following Too Closely,BRONX RIVER PARKWAY,,,,0
40.80118,-73.93975,03/25/2022,6:15,1,0,Traffic Control Disregarded,EAST 120 STREET,,,,1
40.757668,-73.95915,03/26/2022,21:50,1,0,Driver Inattention/Distraction,FDR DRIVE,,,,1
40.668896,-73.95339,03/26/2022,21:25,0,0,Driver Inattention/Distraction,,,200       ROGERS AVENUE,BROOKLYN,0
40.63654,-73.97707,03/25/2022,18:13,2,0,Unspecified,,,604       EAST 2 STREET,BROOKLYN,2
40.831055,-73.905846,03/26/2022,20:10,1,0,Unspecified,EAST 168 STREET,3 AVENUE,,BRONX,1
40.85868,-73.89922,03/25/2022,12:55,0,0,Passing Too Closely,GRAND CONCOURSE,,,,0
40.62466,-74.17856,03/23/2022,11:00,0,0,Driver Inattention/Distraction,GULF AVENUE,,,,0
40.63947,-73.902756,03/26/2022,3:05,1,0,Unspecified,AVENUE J,EAST 92 STREET,,BROOKLYN,1
40.86173,-73.91182,03/26/2022,4:34,1,0,Unspecified,WEST FORDHAM ROAD,CEDAR AVENUE,,BRONX,1
40.69538,-73.985115,03/26/2022,19:56,0,0,Unspecified,,,11        METROTECH CENTER,BROOKLYN,0
40.63063,-74.00923,03/26/2022,12:40,0,0,Unspecified,65 STREET,FORT HAMILTON PARKWAY,,BROOKLYN,0
40.82707,-73.87075,03/26/2022,1:58,0,0,Turning Improperly,,,1670      WATSON AVENUE,BRONX,0
40.60548,-73.93922,03/26/2022,19:56,0,0,Unspecified,GERRITSEN AVENUE,AVENUE S,,,0
40.692593,-73.91551,03/26/2022,0:30,0,0,Unspecified,MADISON STREET,CENTRAL AVENUE,,BROOKLYN,0
40.680664,-73.902626,03/26/2022,20:05,0,0,Driver Inattention/Distraction,BUSHWICK AVENUE,CONWAY STREET,,BROOKLYN,0
40.645718,-73.95002,03/26/2022,17:54,4,0,Passing Too Closely,,,168       EAST 29 STREET,BROOKLYN,4
40.68327,-73.95016,03/25/2022,17:55,0,0,Traffic Control Disregarded,NOSTRAND AVENUE,,,,0
40.84036,-73.91807,12/12/2021,9:09,0,1,Unspecified,JEROME AVENUE,,,,5
40.577652,-73.96344,03/26/2022,16:35,0,0,Driver Inattention/Distraction,,,3071      BRIGHTON 4 STREET,BROOKLYN,0
40.730145,-73.99781,03/26/2022,19:50,1,0,Passenger Distraction,,,60        WASHINGTON SQUARE SOUTH,MANHATTAN,1
40.67478,-73.806206,03/26/2022,13:19,0,0,Failure to Yield Right-of-Way,ROCKAWAY BOULEVARD,132 STREET,,QUEENS,0
40.624622,-73.97598,03/25/2022,8:45,2,0,Unspecified,,,1175      MC DONALD AVENUE,BROOKLYN,2
40.67271,-73.97089,03/26/2022,10:10,0,0,Passing or Lane Usage Improper,UNION STREET,PLAZA STREET WEST,,BROOKLYN,0
40.7314,-73.926094,03/26/2022,11:45,1,0,Reaction to Uninvolved Vehicle,BROOKLYN QUEENS EXPRESSWAY,,,,1
40.632786,-74.13712,03/25/2022,14:35,1,0,Failure to Yield Right-of-Way,PORT RICHMOND AVENUE,HATFIELD PLACE,,,1
40.596733,-74.07045,03/26/2022,14:30,0,0,Backing Unsafely,MCCLEAN AVENUE,SAND LANE,,STATEN ISLAND,0
40.617645,-73.92092,03/26/2022,19:00,0,0,Backing Unsafely,,,1549      EAST 56 STREET,BROOKLYN,0
40.68651,-73.98378,03/26/2022,16:40,2,0,Passing or Lane Usage Improper,,,436       ATLANTIC AVENUE,BROOKLYN,2
40.69831,-73.9498,03/24/2022,18:05,0,0,Driver Inattention/Distraction,MARCY AVENUE,ELLERY STREET,,BROOKLYN,0
40.692455,-73.76814,03/26/2022,3:35,1,0,Reaction to Uninvolved Vehicle,179 STREET,,,,1
40.778805,-73.974075,03/20/2022,10:34,1,0,Backing Unsafely,WEST 76 STREET,CENTRAL PARK WEST,,MANHATTAN,1
40.747894,-73.989174,03/26/2022,14:54,0,0,Passing or Lane Usage Improper,AVENUE OF THE AMERICAS,WEST 31 STREET,,MANHATTAN,0
40.83578,-73.871445,03/25/2022,6:35,0,0,Following Too Closely,,,1700      CROSS BRONX EXPRESSWAY,BRONX,0
40.61763,-74.133575,03/25/2022,14:00,0,0,Driver Inattention/Distraction,LEONARD AVENUE,FISKE AVENUE,,,0
40.731407,-73.99698,03/21/2022,19:13,1,0,Driver Inattention/Distraction,WASHINGTON SQUARE NORTH,,,,1
40.60784,-73.961975,03/26/2022,5:02,0,0,Fell Asleep,CONEY ISLAND AVENUE,QUENTIN ROAD,,BROOKLYN,0
40.752563,-73.74328,03/25/2022,9:45,0,0,Unspecified,CROSS ISLAND PARKWAY,,,,0
40.67848,-73.98232,03/26/2022,22:54,0,0,Failure to Yield Right-of-Way,,,177       4 AVENUE,BROOKLYN,0
40.629475,-74.004166,03/26/2022,21:00,0,0,Driver Inattention/Distraction,,,1115      63 STREET,BROOKLYN,0
40.668797,-73.93113,03/26/2022,17:29,1,0,Driver Inattention/Distraction,EASTERN PARKWAY,UTICA AVENUE,,BROOKLYN,1
40.754707,-73.99164,03/26/2022,2:10,1,0,Failure to Yield Right-of-Way,WEST 38 STREET,8 AVENUE,,MANHATTAN,1
40.85713,-73.8808,03/25/2022,0:00,0,0,Driver Inattention/Distraction,EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,BRONX,0
40.857418,-73.89996,03/26/2022,4:00,0,0,Unsafe Speed,GRAND CONCOURSE,EAST 183 STREET,,BRONX,0
40.702972,-73.888054,03/26/2022,4:34,0,0,Unsafe Speed,CENTRAL AVENUE,66 PLACE,,QUEENS,0
40.786366,-73.97598,9/3/2022,11:56,1,0,Failure to Yield Right-of-Way,WEST 84 STREET,,,,1
40.624474,-74.00668,03/26/2022,14:41,0,0,Passing or Lane Usage Improper,70 STREET,12 AVENUE,,BROOKLYN,0
40.76532,-73.771904,03/26/2022,18:00,0,0,Unspecified,39 AVENUE,BELL BOULEVARD,,QUEENS,0
40.597683,-73.96686,03/26/2022,13:30,0,0,Driver Inattention/Distraction,AVENUE U,,,,0
40.609768,-74.06969,03/26/2022,13:20,1,0,Traffic Control Disregarded,SAINT JOHNS AVENUE,TOMPKINS AVENUE,,STATEN ISLAND,1
40.798286,-73.938705,03/25/2022,21:35,0,0,Following Too Closely,,,231       EAST 117 STREET,MANHATTAN,0
40.776764,-73.848015,03/23/2022,21:00,0,0,Unspecified,,,25-03     120 STREET,QUEENS,0
40.747498,-73.91309,03/26/2022,12:00,0,0,Unspecified,,,39-34     51 STREET,QUEENS,0
40.701637,-73.942276,03/26/2022,13:28,1,0,Following Too Closely,GRAHAM AVENUE,DEBEVOISE STREET,,BROOKLYN,1
40.69349,-73.826546,03/26/2022,19:12,0,0,Unsafe Speed,,,94-39     120 STREET,QUEENS,0
40.726463,-73.85943,03/26/2022,21:29,1,0,Unsafe Speed,WETHEROLE STREET,65 ROAD,,QUEENS,1
40.856434,-73.886826,03/25/2022,13:21,1,0,Driver Inattention/Distraction,EAST 188 STREET,ARTHUR AVENUE,,BRONX,1
40.87151,-73.87057,03/22/2022,8:20,1,0,Turning Improperly,BURKE AVENUE,BRONX PARK EAST,,BRONX,1
40.68686,-73.96758,03/26/2022,22:30,0,0,Passing or Lane Usage Improper,,,386       CLINTON AVENUE,BROOKLYN,0
40.624763,-73.96518,03/26/2022,11:20,1,0,Alcohol Involvement,CONEY ISLAND AVENUE,,,,1
40.678417,-73.729225,03/26/2022,18:17,0,0,Passing or Lane Usage Improper,130 AVENUE,BROOKVILLE BOULEVARD,,QUEENS,0
40.692596,-73.79078,03/14/2022,10:30,0,0,Unspecified,,,160-18    110 AVENUE,QUEENS,0
40.734486,-73.891754,03/26/2022,1:30,0,0,Driver Inattention/Distraction,CALAMUS AVENUE,72 STREET,,,0
40.88399,-73.82641,03/26/2022,3:23,1,0,Following Too Closely,,,2291      NEW ENGLAND THRUWAY,BRONX,1
40.683872,-73.95998,03/26/2022,1:45,0,0,Driver Inattention/Distraction,,,41        IRVING PLACE,BROOKLYN,0
40.799484,-73.92929,5/3/2022,14:52,0,0,Unspecified,,,30        PALADINO AVENUE,MANHATTAN,0
40.70839,-74.00482,03/26/2022,20:27,0,0,Passing or Lane Usage Improper,FULTON STREET,,,,0
