LATITUDE,LONGITUDE,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,BOROUGH,SEVERITY
40.766502,-73.99418,03/26/2022,18:19,0,0,Unspecified,WEST 51 STREET,11 AVENUE,,MANHATTAN,0
40.676304,-73.816284,03/26/2022,23:00,0,0,Alcohol Involvement,,,115-36    122 STREET,QUEENS,0
40.66447,-73.89593,03/26/2022,18:00,0,0,Unsafe Speed,GEORGIA AVENUE,LIVONIA AVENUE,,BROOKLYN,0
40.709835,-74.014885,03/23/2022,20:40,0,0,Unsafe Speed,WEST STREET,,,,0
40.585342,-73.94157,04/24/2022,11:45,0,0,Driver Inattention/Distraction,BELT PARKWAY,,,,0
40.746395,-73.9856,11/9/2021,12:01,0,0,Passing or Lane Usage Improper,,,3         EAST 31 STREET,MANHATTAN,0
40.617004,-73.96912,10/9/2021,11:00,0,0,Unspecified,OCEAN PARKWAY,AVENUE M,,BROOKLYN,0
40.718662,-74.00615,11/9/2021,20:15,0,0,Unspecified,,,116       FRANKLIN STREET,MANHATTAN,0
40.680664,-73.97028,9/9/2021,8:15,0,0,Backing Unsafely,,,590       DEAN STREET,BROOKLYN,0
40.67392,-73.91012,10/12/2021,23:07,0,0,Unspecified,BERGEN STREET,EASTERN PARKWAY,,BROOKLYN,0
40.806835,-73.924355,10/12/2021,21:50,0,0,Other Vehicular,MAJOR DEEGAN EXPRESSWAY,,,,0
40.627735,-73.920105,11/27/2021,5:40,0,0,Unspecified,,,1100      EAST 58 STREET,BROOKLYN,0
0.0,0.0,9/12/2021,5:15,1,0,Traffic Control Disregarded,ROCKAWAY BOULEVARD,VANWYCK EXPRESSWAY,,,1
40.661263,-73.955765,8/12/2021,12:58,0,0,Unspecified,,,203       LINCOLN ROAD,BROOKLYN,0
40.844883,-73.907295,8/12/2021,17:50,0,0,Following Too Closely,CROSS BRONX EXPY,,,,0
40.76104,-73.88162,10/12/2021,4:30,0,0,Driver Inattention/Distraction,,,30-27     87 STREET,QUEENS,0
40.669777,-73.9583,10/12/2021,21:22,1,0,Failure to Yield Right-of-Way,FRANKLIN AVENUE,,,,1
40.839443,-73.90436,10/12/2021,8:30,0,0,Unsafe Lane Changing,,,425       CLAREMONT PARKWAY,BRONX,0
40.75245,-73.94507,10/12/2021,12:15,0,0,Driver Inattention/Distraction,13 STREET,QUEENS PLAZA SOUTH,,QUEENS,0
40.687748,-73.980125,8/12/2021,14:38,0,0,Passing Too Closely,,,25        FLATBUSH AVENUE,BROOKLYN,0
40.87356,-73.81853,3/12/2021,13:40,0,0,Unspecified,HUTCHINSON RIVER PARKWAY,,,,0
40.8176,-73.90373,10/12/2021,8:50,1,0,Other Vehicular,,,800       EAST 156 STREET,BRONX,1
40.638428,-73.91275,9/12/2021,19:45,0,0,Unspecified,GLENWOOD ROAD,EAST 83 STREET,,BROOKLYN,0
40.813885,-73.95211,10/12/2021,16:07,0,0,Unspecified,,,416       WEST 129 STREET,MANHATTAN,0
40.77733,-73.95456,10/12/2021,21:20,0,0,Unsafe Speed,,,204       EAST 84 STREET,MANHATTAN,0
40.713135,-74.00407,10/12/2021,23:16,0,0,Failure to Yield Right-of-Way,CHAMBERS STREET,,,,0
40.775486,-73.98217,9/12/2021,17:21,2,0,Driver Inattention/Distraction,BROADWAY,,,,2
40.591137,-73.97752,9/12/2021,7:30,0,0,Unspecified,BOYNTON PLACE,WEST 7 STREET,,BROOKLYN,0
40.865536,-73.92728,11/24/2021,23:58,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,BROADWAY,,,,1
40.76551,-73.97795,9/12/2021,17:00,1,0,Following Too Closely,,,140       WEST 58 STREET,MANHATTAN,1
40.63311,-73.97217,8/12/2021,8:15,0,0,Unspecified,OCEAN PARKWAY,18 AVENUE,,BROOKLYN,0
40.823772,-73.87245,11/9/2021,2:20,1,0,Alcohol Involvement,BRONX RIVER PARKWAY,,,,1
40.84497,-73.90247,9/7/2021,12:00,0,0,Passing Too Closely,ITTNER PLACE,,,,0
40.675507,-74.00075,10/9/2021,14:50,0,0,Unspecified,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.609535,-73.75372,1/7/2021,17:45,0,0,Passing or Lane Usage Improper,BEACH CHANNEL DRIVE,HORTON AVENUE,,QUEENS,0
40.730446,-74.00431,7/7/2021,13:45,0,0,Driver Inexperience,LEROY STREET,BEDFORD STREET,,MANHATTAN,0
40.721645,-73.8026,11/9/2021,12:00,0,0,Unspecified,,,80-25     165 STREET,QUEENS,0
40.853477,-73.82622,7/7/2021,17:30,0,0,Unspecified,BRUCKNER EXPRESSWAY,,,,0
40.66901,-73.80265,11/9/2021,2:55,0,0,Alcohol Involvement,135 PLACE,133 AVENUE,,QUEENS,0
40.629475,-74.1123,11/9/2021,17:15,1,0,Unspecified,,,694       FOREST AVENUE,STATEN ISLAND,1
40.6843,-73.99724,3/9/2021,17:14,0,0,Passing Too Closely,CLINTON STREET,DE GRAW STREET,,BROOKLYN,0
40.767612,-73.950005,8/7/2021,12:30,0,0,Following Too Closely,FDR DRIVE,,,,0
40.80066,-73.9544,08/23/2021,11:50,1,0,Driver Inattention/Distraction,7 AVENUE,,,,1
40.87645,-73.848175,11/9/2021,21:34,0,0,Turning Improperly,BOSTON ROAD,FENTON AVENUE,,BRONX,0
40.737865,-73.876144,11/9/2021,11:30,0,0,Passing or Lane Usage Improper,,,87-46     52 AVENUE,QUEENS,0
40.764103,-73.93277,6/9/2021,10:34,1,0,Reaction to Uninvolved Vehicle,21 STREET,33 ROAD,,,1
40.66735,-73.76994,8/7/2021,15:56,1,0,Other Vehicular,BELT PARKWAY,,,,1
40.824265,-73.95642,7/7/2021,23:06,0,0,Passing Too Closely,HENRY HUDSON PARKWAY,,,,0
40.702045,-73.9156,11/9/2021,6:51,0,0,Backing Unsafely,GREENE AVENUE,,,,0
40.85306,-73.931,7/9/2021,12:30,1,0,Driver Inattention/Distraction,SAINT NICHOLAS AVENUE,,,,1
0.0,0.0,11/9/2021,4:10,0,0,Unspecified,WEST 181 STREET,FORT WASHINGTON AVENUE,,MANHATTAN,0
40.697315,-73.932274,8/7/2021,9:25,0,0,Turning Improperly,BUSHWICK AVENUE,,,,0
40.679344,-73.859535,11/9/2021,6:40,0,0,Passing Too Closely,LIBERTY AVENUE,,,,0
40.708923,-73.81877,11/9/2021,17:35,0,0,Unspecified,,,137-65    QUEENS BOULEVARD,QUEENS,0
40.60203,-74.09572,8/7/2021,17:17,1,0,Lost Consciousness,ROME AVENUE,UPTON STREET,,STATEN ISLAND,1
40.693787,-73.81173,10/9/2021,3:00,1,0,Unsafe Speed,VAN WYCK EXPWY,,,,1
40.826767,-73.888855,11/9/2021,5:59,0,0,Unspecified,EAST 167 STREET,BRYANT AVENUE,,BRONX,0
40.56692,-74.116234,9/9/2021,11:39,1,0,Passing or Lane Usage Improper,CLAWSON STREET,PRINCETON AVENUE,,STATEN ISLAND,1
40.623913,-74.00726,11/9/2021,17:40,0,0,Driver Inattention/Distraction,12 AVENUE,71 STREET,,BROOKLYN,0
40.592422,-73.99508,11/9/2021,22:15,0,0,Following Too Closely,BELT PARKWAY,,,,0
40.6783,-73.88988,11/9/2021,7:15,0,0,Unspecified,FULTON STREET,SCHENCK AVENUE,,BROOKLYN,0
40.748962,-73.89176,10/9/2021,17:00,0,0,Driver Inattention/Distraction,74 STREET,37 AVENUE,,QUEENS,0
40.631508,-73.90506,8/7/2021,11:33,0,0,Driver Inexperience,,,1222      EAST 83 STREET,BROOKLYN,0
40.677322,-73.790955,11/9/2021,21:48,0,0,Alcohol Involvement,SUTPHIN BOULEVARD,,,,0
40.57666,-73.965836,03/26/2022,10:30,0,0,Following Too Closely,BRIGHTON BEACH AVENUE,,,,0
40.804585,-73.94782,11/9/2021,19:00,1,0,Traffic Control Disregarded,WEST 120 STREET,,,,1
40.832916,-73.92939,11/9/2021,22:23,0,0,Following Too Closely,OGDEN AVENUE,WEST 164 STREET,,BRONX,0
40.722515,-73.73332,11/9/2021,15:00,1,0,Unspecified,222 STREET,93 ROAD,,QUEENS,1
40.692127,-73.83484,10/9/2021,10:20,2,0,Failure to Yield Right-of-Way,ATLANTIC AVENUE,111 STREET,,QUEENS,2
40.807537,-73.8798,11/9/2021,0:00,0,0,Traffic Control Disregarded,HALLECK STREET,VIELE AVENUE,,BRONX,0
40.878128,-73.86944,6/7/2021,15:01,0,0,Other Vehicular,BRONX BOULEVARD,EAST GUN HILL ROAD,,BRONX,0
40.75777,-73.854164,9/7/2021,4:00,0,0,Driver Inattention/Distraction,GRAND CENTRAL PKWY,,,,0
40.6569,-73.907486,10/9/2021,8:45,0,0,Unspecified,,,940       ROCKAWAY AVENUE,BROOKLYN,0
40.845024,-73.92632,11/9/2021,11:51,1,0,Driver Inattention/Distraction,CROSS BRONX EXPY,,,,1
40.817795,-73.89319,11/9/2021,18:50,1,0,Unspecified,BRUCKNER BOULEVARD,TIFFANY STREET,,BRONX,1
40.81915,-73.93062,2/7/2021,7:10,1,0,Driver Inexperience,MAJOR DEEGAN EXPRESSWAY,,,,1
40.591778,-74.12734,6/9/2021,13:26,0,0,Backing Unsafely,,,1466      MANOR ROAD,STATEN ISLAND,0
40.753994,-73.94244,11/9/2021,5:30,1,0,Following Too Closely,21 STREET,41 AVENUE,,QUEENS,1
40.724846,-73.999,11/9/2021,12:55,1,0,Passing or Lane Usage Improper,,,101       PRINCE STREET,MANHATTAN,1
40.822933,-73.93813,9/7/2021,12:30,0,0,Other Vehicular,WEST 147 STREET,,,,0
40.680477,-73.951164,11/9/2021,13:00,1,0,Driver Inattention/Distraction,FULTON STREET,,,,1
40.648243,-73.929,11/9/2021,15:00,0,0,Backing Unsafely,TILDEN AVENUE,EAST 51 STREET,,BROOKLYN,0
40.64366,-73.90067,8/7/2021,15:30,1,0,Driver Inattention/Distraction,ROCKAWAY PARKWAY,FLATLANDS AVENUE,,BROOKLYN,1
40.6843,-73.94121,9/7/2021,11:15,0,0,Passing Too Closely,JEFFERSON AVENUE,,,,0
40.602425,-74.091354,2/9/2021,10:45,1,0,Lost Consciousness,TARGEE STREET,,,,1
40.662037,-73.95077,7/9/2021,17:35,1,0,Driver Inattention/Distraction,,,1065      NOSTRAND AVENUE,BROOKLYN,1
40.68164,-73.98568,11/9/2021,19:08,0,0,Following Too Closely,NEVINS STREET,BUTLER STREET,,BROOKLYN,0
40.781315,-73.94614,11/9/2021,10:25,0,0,Backing Unsafely,1 AVENUE,EAST 93 STREET,,MANHATTAN,0
40.74498,-73.89325,11/9/2021,14:00,0,0,Unspecified,72 STREET,41 AVENUE,,,0
40.6117,-74.13918,08/29/2021,0:12,1,0,Driver Inattention/Distraction,VICTORY BOULEVARD,HARVEY AVENUE,,,1
40.616295,-73.92991,11/9/2021,23:48,0,0,Unsafe Speed,FLATBUSH AVENUE,AVENUE O,,BROOKLYN,0
40.78322,-73.84586,11/9/2021,1:45,0,0,Failure to Yield Right-of-Way,18 AVENUE,COLLEGE POINT BOULEVARD,,QUEENS,0
40.87122,-73.83709,8/7/2021,17:13,0,0,Driver Inattention/Distraction,,,1851      ADEE AVENUE,BRONX,0
40.680077,-73.852684,9/9/2021,11:39,0,0,Failure to Yield Right-of-Way,86 STREET,103 AVENUE,,QUEENS,0
40.843384,-73.88987,6/7/2021,19:00,0,0,Driver Inattention/Distraction,,,1908      PROSPECT AVENUE,BRONX,0
40.680023,-73.794624,11/9/2021,17:19,0,0,Passing Too Closely,146 STREET,,,,0
40.72937,-73.955444,6/7/2021,18:00,0,0,Obstruction/Debris,,,133       MILTON STREET,BROOKLYN,0
40.683754,-73.88565,5/7/2021,17:20,0,0,Driver Inexperience,ELTON STREET,JAMAICA AVENUE,,BROOKLYN,0
40.70413,-73.76984,11/9/2021,9:10,0,0,Turning Improperly,DUNLOP AVENUE,,,,0
40.609985,-73.96239,11/9/2021,21:45,0,0,Unspecified,AVENUE P,CONEY ISLAND AVENUE,,BROOKLYN,0
40.673676,-73.86576,9/7/2021,6:51,1,0,View Obstructed/Limited,SUTTER AVENUE,SHERIDAN AVENUE,,BROOKLYN,1
40.751442,-73.97606,11/9/2021,21:00,1,0,Unspecified,LEXINGTON AVENUE,EAST 42 STREET,,MANHATTAN,1
40.86514,-73.801544,8/7/2021,14:30,1,0,Unspecified,,,1         ORCHARD BEACH ROAD,BRONX,1
40.72218,-73.84406,11/9/2021,18:38,0,0,Passing or Lane Usage Improper,,,70-31     108 STREET,QUEENS,0
40.797924,-73.9296,11/9/2021,15:28,0,0,Unspecified,,,90        PALADINO AVENUE,MANHATTAN,0
40.626373,-73.99754,5/9/2021,16:40,0,0,Driver Inattention/Distraction,62 STREET,,,,0
40.883133,-73.882095,11/9/2021,5:26,1,0,Lost Consciousness,WEST GUN HILL ROAD,,,,1
40.90222,-73.85589,11/9/2021,12:30,0,0,Aggressive Driving/Road Rage,,,4526      BRONX BOULEVARD,BRONX,0
40.72717,-73.78739,10/9/2021,12:10,0,0,Backing Unsafely,UNION TURNPIKE,181 STREET,,QUEENS,0
40.600792,-73.76711,06/26/2021,10:30,0,0,Unspecified,,,31-29     DWIGHT AVENUE,QUEENS,0
40.84434,-73.91475,1/7/2021,21:00,0,0,Unsafe Lane Changing,JEROME AVENUE,,,,0
40.67922,-73.90405,04/16/2021,17:55,0,0,Unspecified,BROADWAY,CONWAY STREET,,BROOKLYN,0
40.802982,-73.93815,11/9/2021,13:10,0,0,Driver Inattention/Distraction,,,129       EAST 123 STREET,MANHATTAN,0
40.731544,-73.955315,4/7/2021,0:58,1,0,Driver Inattention/Distraction,,,145       JAVA STREET,BROOKLYN,1
40.683323,-73.80648,11/9/2021,2:38,1,0,Unsafe Speed,,,111-48    VANWYCK EXPRESSWAY,QUEENS,1
40.732006,-73.95795,4/7/2021,21:00,1,0,Alcohol Involvement,FRANKLIN STREET,INDIA STREET,,BROOKLYN,1
40.6544,-73.92044,11/9/2021,18:00,1,0,Failure to Yield Right-of-Way,LINDEN BOULEVARD,EAST 91 STREET,,BROOKLYN,1
40.589592,-73.786385,2/7/2021,16:45,0,0,Unsafe Speed,,,57-07     SHORE FRONT PARKWAY,QUEENS,0
40.736164,-73.97891,11/9/2021,15:10,0,0,Traffic Control Disregarded,EAST 22 STREET,,,,0
40.59723,-73.76237,3/7/2021,10:18,1,0,Failure to Yield Right-of-Way,DEERFIELD ROAD,BEACH 29 STREET,,QUEENS,1
40.67393,-73.999954,11/9/2021,14:40,2,0,Driver Inattention/Distraction,HAMILTON AVENUE,COURT STREET,,BROOKLYN,2
40.840153,-73.88572,11/9/2021,2:00,0,0,Unsafe Speed,CROSS BRONX EXPY,,,,0
40.599503,-74.067116,11/9/2021,23:00,0,0,Unspecified,HASTINGS STREET,,,,0
40.822456,-73.868065,4/7/2021,8:00,0,0,Unspecified,,,851       NOBLE AVENUE,BRONX,0
40.59841,-73.97592,11/9/2021,15:30,0,0,Driver Inattention/Distraction,,,2014      WEST 4 STREET,BROOKLYN,0
40.697083,-73.85476,11/9/2021,14:30,0,0,Passing Too Closely,,,84-22     91 STREET,QUEENS,0
40.896385,-73.87246,8/7/2021,6:00,0,0,Turning Improperly,,,4203      ONEIDA AVENUE,BRONX,0
40.695637,-73.80372,11/8/2021,0:01,0,0,Unsafe Speed,105 AVENUE,,,,0
40.69982,-73.996254,11/9/2021,9:30,0,0,Passing Too Closely,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.590313,-74.09794,11/9/2021,16:40,0,0,Passing or Lane Usage Improper,JEFFERSON STREET,,,,0
40.787544,-73.82394,11/9/2021,18:05,0,0,Failure to Yield Right-of-Way,WHITESTONE EXPRESSWAY,,,,0
40.67539,-73.88113,11/9/2021,2:00,0,0,Driver Inattention/Distraction,SHEPHERD AVENUE,GLENMORE AVENUE,,BROOKLYN,0
40.634007,-74.07516,7/9/2021,8:03,1,0,Driver Inattention/Distraction,,,331       BAY STREET,STATEN ISLAND,1
40.73844,-73.88628,11/9/2021,13:53,0,0,Backing Unsafely,,,77-00     QUEENS BOULEVARD,QUEENS,0
40.60855,-74.13216,8/7/2021,11:50,2,0,Driver Inattention/Distraction,BRADLEY AVENUE,NORTH GANNON AVENUE,,,2
40.58573,-74.16865,11/9/2021,14:00,0,0,Driver Inattention/Distraction,,,2505      RICHMOND AVENUE,,0
40.599907,-73.94664,11/9/2021,7:09,1,0,Unspecified,BEDFORD AVENUE,AVENUE U,,BROOKLYN,1
40.806713,-73.93782,8/7/2021,15:40,0,0,Driver Inexperience,,,1871      PARK AVENUE,MANHATTAN,0
40.748318,-73.87742,7/9/2021,3:00,1,0,Driver Inattention/Distraction,ROOSEVELT AVENUE,89 STREET,,QUEENS,1
40.68651,-73.76815,5/7/2021,6:00,0,0,Other Vehicular,BAISLEY BOULEVARD,119 ROAD,,QUEENS,0
40.624203,-74.177124,10/9/2021,19:15,0,0,Passing or Lane Usage Improper,STATEN ISLAND EXPRESSWAY,,,,0
40.744526,-73.77161,6/7/2021,9:37,2,0,Driver Inattention/Distraction,CLEARVIEW EXPRESSWAY,,,,2
40.576965,-74.16974,1/7/2021,15:30,0,0,Driver Inattention/Distraction,RICHMOND AVENUE,YUKON AVENUE,,,0
40.8502,-73.8302,7/7/2021,18:04,1,0,Following Too Closely,ARNOW PLACE,WESTCHESTER AVENUE,,BRONX,1
40.715477,-73.998085,8/9/2021,17:40,0,0,Driver Inattention/Distraction,,,65        BAYARD STREET,MANHATTAN,0
40.611477,-73.94883,11/9/2021,7:33,1,0,Unspecified,BEDFORD AVENUE,AVENUE P,,BROOKLYN,1
40.681515,-73.90412,8/7/2021,11:50,1,0,Passing or Lane Usage Improper,BUSHWICK AVENUE,EASTERN PARKWAY,,,1
40.61578,-73.99995,11/9/2021,8:00,0,0,Driver Inattention/Distraction,BAY RIDGE PARKWAY,NEW UTRECHT AVENUE,,BROOKLYN,0
40.82207,-73.94993,8/9/2021,8:43,1,0,Driver Inattention/Distraction,WEST 140 STREET,AMSTERDAM AVENUE,,MANHATTAN,1
40.74606,-73.85583,11/9/2021,23:00,0,0,Unspecified,,,108-10    48 AVENUE,QUEENS,0
40.72013,-73.79038,9/9/2021,12:00,1,0,Unspecified,GRAND CENTRAL PARKWAY,UTOPIA PARKWAY,,QUEENS,1
40.688435,-73.78765,7/7/2021,17:13,1,0,Driver Inattention/Distraction,LINDEN BOULEVARD,BEDELL STREET,,QUEENS,1
40.84964,-73.89661,11/9/2021,18:03,2,0,Failure to Yield Right-of-Way,EAST 179 STREET,WASHINGTON AVENUE,,BRONX,2
40.68329,-73.85491,9/9/2021,17:00,0,0,Driver Inexperience,,,85-01     ROCKAWAY BOULEVARD,QUEENS,0
40.812912,-73.95364,8/9/2021,18:13,0,0,Driver Inexperience,,,415       WEST 127 STREET,MANHATTAN,0
40.6639,-73.7804,11/9/2021,20:50,0,0,Passing or Lane Usage Improper,,,145-26    158 STREET,QUEENS,0
40.59312,-73.772705,5/7/2021,0:16,0,0,Driver Inexperience,EDGEMERE AVENUE,BEACH 41 STREET,,QUEENS,0
40.596687,-73.74422,06/29/2021,16:26,0,0,Following Too Closely,BEACH 9 STREET,SEAGIRT BOULEVARD,,,0
40.673107,-73.99959,8/7/2021,8:50,0,0,Unsafe Lane Changing,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.63874,-73.8952,9/7/2021,10:38,1,0,Tinted Windows,ROCKAWAY PARKWAY,AVENUE L,,BROOKLYN,1
40.675255,-73.73207,11/9/2021,17:45,0,0,Driver Inattention/Distraction,BROOKVILLE BOULEVARD,133 AVENUE,,QUEENS,0
40.846313,-73.92385,11/9/2021,1:30,0,0,Passing Too Closely,,,1523      UNDERCLIFF AVENUE,BRONX,0
40.608364,-73.95727,11/9/2021,2:00,1,0,Driver Inattention/Distraction,EAST 16 STREET,QUENTIN ROAD,,BROOKLYN,1
40.682724,-73.88539,8/7/2021,23:25,0,0,Driver Inattention/Distraction,ELTON STREET,RIDGEWOOD AVENUE,,BROOKLYN,0
40.80789,-73.852844,11/9/2021,1:20,0,0,Aggressive Driving/Road Rage,SOUND VIEW AVENUE,STEPHENS AVENUE,,BRONX,0
40.607754,-74.13205,10/9/2021,0:00,1,0,Failure to Yield Right-of-Way,BRADLEY AVENUE,SOUTH GANNON AVENUE,,,1
40.708324,-73.84314,10/9/2021,11:17,1,0,Following Too Closely,JACKIE ROBINSON PKWY,,,,1
40.79194,-73.95281,10/9/2021,17:08,1,0,Unspecified,,,1212      5 AVENUE,MANHATTAN,1
40.718792,-73.98902,8/7/2021,17:55,1,0,Driver Inattention/Distraction,DELANCEY STREET,LUDLOW STREET,,MANHATTAN,1
40.86463,-73.892136,11/9/2021,13:35,0,0,Driver Inattention/Distraction,EAST 194 STREET,,,,0
40.67856,-73.889015,11/9/2021,0:50,0,0,Fell Asleep,FULTON STREET,BARBEY STREET,,BROOKLYN,0
40.721474,-73.98383,11/9/2021,3:00,0,0,Passing Too Closely,EAST HOUSTON STREET,,,,0
40.79184,-73.93556,11/9/2021,4:41,0,0,Unspecified,EAST 111 STREET,FDR DRIVE,,MANHATTAN,0
40.78076,-73.825424,11/9/2021,21:05,0,0,Passing or Lane Usage Improper,WHITESTONE EXPRESSWAY,,,,0
40.7359,-73.91338,11/9/2021,20:59,0,0,Driver Inattention/Distraction,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.710697,-73.984634,10/9/2021,21:03,1,0,Unspecified,,,299       SOUTH STREET,MANHATTAN,1
40.760777,-73.95702,10/9/2021,14:35,1,0,Following Too Closely,FDR DRIVE,,,,1
40.81358,-73.89385,06/26/2021,17:23,0,0,Unspecified,,,770       BARRY STREET,BRONX,0
40.575302,-73.98453,11/9/2021,23:18,1,0,Passing or Lane Usage Improper,SURF AVENUE,,,,1
40.66843,-73.91919,10/9/2021,13:10,0,0,Driver Inattention/Distraction,PITKIN AVENUE,GRAFTON STREET,,BROOKLYN,0
40.81701,-73.9595,11/9/2021,15:45,0,0,Unspecified,SAINT CLAIR PLACE,,,,0
40.85755,-73.882835,8/7/2021,16:00,0,0,Backing Unsafely,,,2488      CAMBRELENG AVENUE,BRONX,0
40.89711,-73.88008,2/9/2021,19:56,0,0,Unspecified,MAJOR DEEGAN EXPRESSWAY,,,,0
40.685795,-73.911644,11/9/2021,15:45,0,0,Following Too Closely,BUSHWICK AVENUE,,,,0
40.69305,-73.799446,7/9/2021,22:30,0,0,Driver Inattention/Distraction,108 AVENUE,SUTPHIN BOULEVARD,,,0
40.609535,-73.75372,06/25/2021,14:35,0,0,Unspecified,BEACH CHANNEL DRIVE,HASSOCK STREET,,QUEENS,0
